filename,created,last_updated,summary
bitches_i_dont_trust_them_but_they_give_me_what_i_want_for_the_night.html,2025-09-15 18:25:51,2026-04-27 23:48:17,"""Do you want to make it up to me, Riley?"" Another nod, more enthusiastic this time. Eve's smile only grew, and Riley could've cried with relief as she reached up and pulled her into a kiss. Her hands instinctually raised to cradle Eve's jaw, slotting herself between Eve's thighs as the kiss grew faster and messier. She trailed a line of kisses down Eve's neck, breathing her in, and reached for the neckline of her shirt before Eve grabbed her hands and stopped her. ""Get on your knees."" OR, a sort-of AU agathario oneshot!"
blade_of_grass.html,2025-09-15 18:25:51,2026-04-27 23:48:17,"“I don’t think you want to hurt me, though,” Rio said. And she meant it. “No.” Agatha raised her hand to Rio’s face, fixing a strand of hair behind her ear. Rio didn’t flinch. “But I may not be able to resist it. Self-control is not my strong suit.” They stood quietly for a second, Agatha’s hand lingering near Rio’s cheek. “Bite me.” The words slipped from Rio’s lips before she could think them through. The idea had been dancing in the back of her mind since she stepped into the office that night, the request the thing that had been keeping her there, stopping her from escaping. Agatha blinked at her like she was an alien. “What?” or Rio is a vampire-obsessed nerd investigating the mysterious attacks on campus. Meet Agatha Harkness, the occult studies professor who may have a few explanations and secrets. What could go wrong?"
blood_in_the_water_everyone_wants_her.html,2026-02-21 12:42:18,2026-04-27 23:48:17,"Rio Vidal is a stubborn woman. She hates feelings and she hates talking about them even more. After moving in with her fuck buddy, Agatha Harkness, all Agatha wants is for Rio to just be honest and admit that there really is more between them but Rio's pride allows for no such thing. However, watching as Agatha moves about their home fucking the piano students she tutors, Rio's feelings become apparent only through her jealousy. The moment that jealousy becomes obvious to Agatha, she does not hesitate to call Rio's bluff on the hand full of emotions she's been trying to conceal. The best way to do that? Put her cunnilingus skills to the test against one of her piano students and see who comes out on top. OR Agatha likes Rio, Rio likes Agatha but Rio is too stubborn to admit it so Agatha challenges her to compete in a competition to see who can give the best head."
bound_by_oath_undone_by_you.html,2025-09-15 18:25:52,2026-04-27 23:48:17,"Rio: ""I am not going to beg for it."" Also Rio five minutes later: “Fuck, Agatha, I need you, please, I can’t…” Rio’s words disintegrated into a moan as Agatha picked up the pace, fingers slamming into her with precision. “Please fuck me, please don’t stop, I need to come…” Or Rio’s whole life is built on duty, discipline, and Agatha is the one person who can unravel her. X: Rhaenicent21"
broken_deal.html,2025-07-26 21:35:52,2026-04-27 23:48:17,"“What happened to never wanting to see my face again?” “You must've trapped me here somehow, I can't leave” Rio tilted her head, eyes narrowing to see past the weak facade Agatha was wearing. She had to restrain a smirk over the pathetic lie. Why was Agatha even attempting it? A one shot AU"
bush_league.html,2025-09-15 18:25:53,2026-04-27 23:48:17,Agatha and Rio are a pitcher-catcher duo on their college softball team. They both have some feelings they need to figure out.
but_i_love_you_just_the_same.html,2025-07-26 21:35:52,2026-04-27 23:48:17,"Instinctively, Agatha grabs the nearest item to her, a pencil, and throws it violently at Rio’s head. The others in the room all burst into exclamations, but Rio doesn’t flinch, just lets the pencil fly right past her. Agatha pretty much forgets about everyone else in the room, her eyes only on Rio. Rio doesn’t miss a beat, her smile widening. “Nice to see you too, Agatha,” OR, Agatha is the lead singer of a band, Coven of Chaos, and they need a new drummer. Unluckily for her, there's only one person around who isn't afraid of Agatha Harkness..."
But_We_Cant.html,2026-01-19 17:55:01,2026-04-27 23:48:17,"“Why are you so desperate to get under my skin?” Agatha shrugged nonchalantly even though her heart was pounding. “You’ve lived comfortably enough in that palace of yours. I’d like to bring you back to reality.” Rio-Sofia scoffed. Agatha flinched when the door jolted. Rio-Sofia had smacked her hand against the door by her head. “Again, you don’t know what you’re talking about.” OR: After second in line to the Spanish thrown, Princess Rio-Sofia Vidal was photographed kissing a woman, scandalising the Spanish royal family. Queen Isabella IV sends her daughter to university in London to keep her out of the public eye. This is where she meets Agatha Harkness, and no, they don't get off on the right foot."
By_Blood_and_Bloom.html,2026-01-19 17:50:23,2026-04-27 23:48:18,"Rio Vidal has had a bad couple of months. Her girlfriend of four years cheated on her and then promptly left her for some young thing, and her creative juices seem to have dried up completely. She has to deliver something to her publisher in the next six months, but inspiration has completely deserted her, just like stupid Carol. Then she receives a letter. And an inheritance from a grandmother she never even knew existed. In fucking Maine. But hey, her life already sucks, so maybe a trip to middle of nowhere Thistle Grove, Maine is exactly what she needs?"
cake_by_the_pound_saturnreturn.html,2026-04-15 22:40:41,2026-04-27 23:48:18,"Rio quickly fished around for their wallet, pulled out a bill, and forced their legs to push their body up and stick one leg in front of the other until they were at the bit of the stage where people were meant to tip before they talked themself out of it. The woman’s eyes were strikingly blue. And Rio had been paying so much attention to the color it wasn’t until the bill slipped into the woman’s fingers and her expertly-shaped brows minutely raised in surprise that Rio saw Benjamin Franklin’s face on the bill. Okay, fuck. What was Rio going to do, take it back? They felt their face heat up as they dragged their feet back to their chair. It was a miracle they didn’t faint right there on the sticky bar floor. _____ OR, the AU where Agatha is a drag queen and Rio falls for her instantly."
